Date : 2020-11-22 03:25:11
Directory : /Users/iknowindigo/dev/TarotWork/SocialTarot
Total : 203 files,  38602 codes, 3291 comments, 2328 blanks, all 44221 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         13 |     24,996 |        105 |          9 |     25,110 |
| TypeScript |        124 |     10,353 |      2,396 |      1,658 |     14,407 |
| HTML       |         32 |      1,889 |        483 |        402 |      2,774 |
| SCSS       |         31 |      1,311 |        303 |        253 |      1,867 |
| JavaScript |          2 |         52 |          4 |          5 |         61 |
| XML        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/authentication.service.ts                                 | TypeScript |        347 |        102 |         60 |        509 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/firestore.service.spec.ts                                 | TypeScript |         12 |          0 |          5 |         17 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/firestore.service.ts                                      | TypeScript |      1,196 |        346 |        146 |      1,688 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/pdf-gen.service.spec.ts                                   | TypeScript |         12 |          0 |          5 |         17 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/pdf-gen.service.ts                                        | TypeScript |        316 |         95 |         77 |        488 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/realtime-db.service.spec.ts                               | TypeScript |         12 |          0 |          5 |         17 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/realtime-db.service.ts                                    | TypeScript |      1,002 |        338 |        120 |      1,460 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/spiritual-service.service.spec.ts                         | TypeScript |         12 |          0 |          5 |         17 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/spiritual-service.service.ts                              | TypeScript |         71 |          7 |          8 |         86 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/tarot-cards.service.spec.ts                               | TypeScript |         12 |          0 |          5 |         17 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/tarot-cards.service.ts                                    | TypeScript |        615 |        101 |         81 |        797 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/about/about-routing.module.ts                           | TypeScript |         14 |          0 |          4 |         18 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/about/about.module.ts                                   | TypeScript |         16 |          0 |          5 |         21 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/about/about.page.html                                   | HTML       |         52 |          0 |          9 |         61 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/about/about.page.scss                                   | SCSS       |          0 |          0 |          1 |          1 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/about/about.page.spec.ts                                | TypeScript |         19 |          0 |          6 |         25 |
