"filename", "language", "JSON", "JavaScript", "HTML", "TypeScript", "SCSS", "XML", "comment", "blank", "total"
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/tablehelp/tablehelp.component.html", "HTML", 0, 0, 254, 0, 0, 0, 180, 34, 468
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/tablehelp/tablehelp.component.scss", "SCSS", 0, 0, 0, 0, 60, 0, 7, 14, 81
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/tablehelp/tablehelp.component.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 6, 25
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/tablehelp/tablehelp.component.ts", "TypeScript", 0, 0, 0, 330, 0, 0, 97, 48, 475
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/material.module.ts", "TypeScript", 0, 0, 0, 122, 0, 0, 3, 2, 127
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/members/dashboard/dashboard-routing.module.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 4, 18
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/members/dashboard/dashboard.module.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 5, 21
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/members/dashboard/dashboard.page.html", "HTML", 0, 0, 7, 0, 0, 0, 0, 3, 10
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/members/dashboard/dashboard.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/members/dashboard/dashboard.page.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 6, 25
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/members/dashboard/dashboard.page.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 5, 16
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/members/member-routing.module.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 5, 20
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/profile/profile-routing.module.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 4, 18
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/profile/profile.module.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 5, 21
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/profile/profile.page.html", "HTML", 0, 0, 102, 0, 0, 0, 12, 15, 129
